country,region,polyarchy,gdp_pc,flfp,women_rep
Afghanistan,Asia,0.24415625,1.2473666666666667,16.638387096774196,27.55625
Albania,Eastern Europe,0.4638125,6.787933333333333,49.6475,15.591304347826087
Algeria,Middle East,0.30709375,10.2357,13.6078125,14.205200000000001
Angola,Africa,0.22140625,4.286566666666666,75.3040625,25.7628
Argentina,Latin America,0.807875,14.150966666666667,48.6384375,35.98409090909091
Armenia,Eastern Europe,0.45221875,6.829827586206896,56.15875,10.3988
Australia,The West,0.8860625,40.44083333333333,56.5359375,25.524166666666666
Austria,The West,0.865125,37.85926666666667,51.5478125,31.575652173913046
Azerbaijan,Eastern Europe,0.224625,8.7201,65.0715625,13.9675
Bahrain,Middle East,0.13046875,26.02863333333333,38.111875,6.973684210526316
Bangladesh,Asia,0.4009375,2.2378666666666667,30.218125,14.677826086956522
Barbados,Latin America,0.77271875,17.550866666666668,61.5203125,13.7704
Belarus,Eastern Europe,0.3135625,13.922433333333332,55.3684375,28.837619047619047
Belgium,The West,0.8844375,36.7929,44.629375,33.5724
Benin,Africa,0.600875,2.0656,62.3909375,7.8056
Bhutan,Asia,0.2960625,6.289433333333333,59.4440625,8.4744
Bolivia,Latin America,0.69178125,4.079733333333333,59.46,30.13304347826087
Bosnia and Herzegovina,Eastern Europe,0.5373,7.316464285714286,32.492333333333335,18.8105
Botswana,Africa,0.6981562499999999,10.9757,51.821875,10.844166666666666
Brazil,Latin America,0.83853125,10.073233333333333,51.134375,9.3416
Bulgaria,Eastern Europe,0.68221875,12.8664,48.456875000000004,21.216
Burkina Faso,Africa,0.54103125,1.6147,65.093125,11.459583333333333
Burma/Myanmar,Asia,0.17925,2.7525333333333335,57.47806451612903,9.321666666666667
Burundi,Africa,0.2326875,0.8223,83.3475,27.816666666666666
Cambodia,Asia,0.28753125,2.269433333333333,69.89375,15.32
Cameroon,Africa,0.31378125,2.4425,73.8396875,17.6456
Canada,The West,0.8317812499999999,40.0788,60.379687499999996,23.628333333333334
Cape Verde,Africa,0.74265625,4.457233333333333,46.205,17.9996
Central African Republic,Africa,0.32796875,0.9276666666666666,63.1915625,8.8455
Chad,Africa,0.2506875,1.4298333333333333,56.5475,9.817083333333333
Chile,Latin America,0.868,16.808366666666668,41.3925,15.480833333333333
China,Asia,0.0928125,7.7591,66.9459375,22.301666666666666
Colombia,Latin America,0.59584375,10.208933333333334,53.7909375,13.765416666666667
Comoros,Africa,0.40096875,2.315,32.3325,4.394
Costa Rica,Latin America,0.9043125000000001,12.215766666666667,42.720625,34.1756
Croatia,Eastern Europe,0.6651290322580645,17.11662068965517,45.00806451612903,20.094583333333333
Cuba,Latin America,0.1361875,6.1260666666666665,38.7296875,40.7176
Cyprus,The West,0.8170625,26.1092,52.0771875,12.7144
Czech Republic,Eastern Europe,0.87103125,25.299733333333332,51.2721875,18.56
Democratic Republic of the Congo,Africa,0.253875,0.7588666666666667,67.719375,9.75764705882353
Denmark,The West,0.9109375000000001,40.10823333333333,59.2409375,37.89625
Djibouti,Africa,0.24225,3.1987,16.535,12.18625
Dominican Republic,Latin America,0.5628125,9.507366666666666,41.5621875,20.4732
Ecuador,Latin America,0.6655625,8.059833333333334,49.9075,28.163333333333334
