country,region,polyarchy,clientelism,corruption,womens_emp,gdp_pc,inf_mort,life_exp,education
Sweden,The West,0.9181363636363636,0.03513636363636364,0.005363636363636364,0.9506363636363636,43.133,2.78125,81.70454545454545,11.77
Denmark,The West,0.9129545454545455,0.03240909090909091,0.002,0.9636818181818182,43.22905,3.73125,79.55454545454546,12.057500000000001
Costa Rica,Latin America,0.9069545454545455,0.1683181818181818,0.18581818181818183,0.9417272727272727,13.61805,9.20625,79.6,7.3475
Norway,The West,0.8963181818181818,0.024863636363636366,0.0075,0.9447727272727272,56.4068,2.94375,81.30454545454546,12.5525
Germany,The West,0.8937272727272727,0.032590909090909094,0.011727272727272727,0.9566363636363636,40.14315,3.7125,80.26363636363637,12.9575
Switzerland,The West,0.8932727272727273,0.0575,0.025136363636363637,0.9394545454545454,50.21575,4.06875,82.60909090909091,12.6875
New Zealand,The West,0.8923636363636364,0.04472727272727273,0.007954545454545455,0.9470454545454545,32.8968,5.30625,80.65454545454546,12.2775
Portugal,The West,0.8882727272727273,0.03831818181818182,0.107,0.9321818181818182,25.89545,3.69375,79.98636363636363,7.7
Uruguay,Latin America,0.888,0.05168181818181818,0.048590909090909094,0.8641363636363636,16.3797,11.55,76.35909090909091,8.625
Belgium,The West,0.8878636363636364,0.047181818181818186,0.022,0.9445454545454545,39.6854,3.9,80.11363636363636,11.15
France,The West,0.8856363636363637,0.04577272727272727,0.05718181818181818,0.9421818181818181,37.68035,3.7625,81.48636363636363,12.305
Australia,The West,0.8835454545454545,0.06581818181818182,0.032,0.9407727272727272,44.37195,4.2875,81.92727272727272,13.102500000000001
Ireland,The West,0.8835454545454545,0.1703181818181818,0.05381818181818182,0.9031818181818182,51.34925,4.14375,80.25,10.555
Chile,Latin America,0.8808636363636364,0.12027272727272727,0.06886363636363636,0.8693636363636363,19.23525,7.75625,78.78181818181818,10.2575
Estonia,Eastern Europe,0.8783636363636363,0.09659090909090909,0.04509090909090909,0.9268181818181819,23.36105,4.95,75.26363636363637,11.407136363636363
Spain,The West,0.8779545454545454,0.07145454545454545,0.04790909090909091,0.9508181818181818,32.51225,4.39375,81.7090909090909,10.07
Finland,The West,0.8771818181818182,0.061454545454545456,0.017499999999999998,0.9492727272727273,37.6085,2.75625,80.42727272727272,11.89
Greece,The West,0.8771818181818182,0.16822727272727273,0.24304545454545456,0.9224545454545455,26.14845,4.71875,80.14545454545454,10.4925
Luxembourg,The West,0.8767727272727273,0.053954545454545456,0.04127272727272727,0.8877272727272727,77.6079,2.45625,80.93181818181819,NA
Iceland,The West,0.8715454545454545,0.0689090909090909,0.014681818181818181,0.926409090909091,45.89605,2.20625,82.6,11.19140909090909
Czech Republic,Eastern Europe,0.8714545454545455,0.10931818181818181,0.23154545454545455,0.9177272727272727,28.68225,3.9875,77.71363636363637,11.123545454545454
United States of America,The West,0.8695,0.09181818181818183,0.06868181818181818,0.9096818181818183,54.25075,6.4625,78.31818181818181,13.459999999999999
Netherlands,The West,0.8692727272727273,0.019636363636363636,0.01913636363636364,0.9275,44.5381,4.10625,80.56818181818181,11.4675
United Kingdom,The West,0.8675454545454545,0.10036363636363636,0.044454545454545455,0.9064090909090909,37.30675,4.68125,80.08181818181818,13.2425
Austria,The West,0.8642272727272727,0.07713636363636364,0.0870909090909091,0.9373636363636364,41.2474,3.7875,80.7090909090909,11.435
Italy,The West,0.8581363636363636,0.18609090909090908,0.2255909090909091,0.9185909090909091,33.5523,3.63125,81.83636363636363,10.782499999999999
Slovakia,Eastern Europe,0.8419545454545454,0.14663636363636365,0.3415909090909091,0.8906363636363637,23.78335,7.825,75.79545454545455,11.035181818181819
Japan,Asia,0.8390454545454545,0.19977272727272727,0.10436363636363637,0.8035454545454546,36.95735,2.575,83.4590909090909,13.035
Slovenia,Eastern Europe,0.8377727272727272,0.1464090909090909,0.2982727272727273,0.9116818181818181,29.5103,3.1625,79.43181818181819,NA
Cyprus,The West,0.8369545454545454,0.20172727272727273,0.169,0.8377727272727272,28.41405,3.61875,79.3,9.107909090909091
Brazil,Latin America,0.8325454545454546,0.3485,0.5030454545454546,0.8093636363636363,11.0139,18.45,73.7909090909091,7.99
Canada,The West,0.8315,0.06040909090909091,0.03618181818181818,0.9251363636363636,43.0428,4.9625,81.30454545454546,13.02
Lithuania,Eastern Europe,0.8312727272727273,0.18768181818181817,0.1673181818181818,0.9213636363636364,21.50355,6.6625,73.44545454545455,11.235818181818182
Poland,Eastern Europe,0.8265,0.13127272727272726,0.10445454545454545,0.9097272727272727,19.60575,5.90625,76.35909090909091,9.474181818181819
Latvia,Eastern Europe,0.8155454545454546,0.26404545454545453,0.16668181818181818,0.9468181818181818,19.87965,9.85625,73.25,10.816545454545455
South Korea,Asia,0.8095454545454546,0.19718181818181818,0.1784090909090909,0.8750454545454546,32.785199999999996,4.2,80.58636363636364,12.78
