event_id,date,gov_deaths,rebel_deaths,civilian_deaths,deaths,where_coordinates,geometry
410593,2021-04-29T00:00:00Z,2,0,0,2,Ţiyāb town,"c(45.469165, 14.149123)"
410601,2021-06-01T00:00:00Z,0,1,0,1,Ţiyāb town,"c(45.469165, 14.149123)"
415966,2021-09-29T00:00:00Z,0,0,0,1,Radā‘ town,"c(44.837089, 14.415097)"
419510,2021-10-04T00:00:00Z,0,0,0,1,Dammaj village,"c(45.83724, 14.23814)"
423037,2021-11-26T00:00:00Z,2,0,0,2,Aqabat al Halhal village,"c(46.01812, 14.049348)"
414170,2021-08-23T00:00:00Z,0,0,1,1,Jazirat al Hanish al Kabir island,"c(42.732155, 13.72)"
378022,2021-01-06T00:00:00Z,0,0,6,6,Al Ḩaymah as Suflá area,"c(44.06, 13.70564)"
378424,2021-01-14T00:00:00Z,0,0,1,1,Wādī al Ḩājib village,"c(44.043937, 13.741527)"
378425,2021-01-20T00:00:00Z,0,0,1,1,Al Ḩaymah as Suflá area,"c(44.06, 13.70564)"
378904,2021-01-22T00:00:00Z,0,0,1,1,Al Ḩazm town,"c(44.776919, 16.164056)"
378908,2021-01-26T00:00:00Z,0,0,1,1,Hadhran town,"c(43.92862, 13.60529)"
378942,2021-01-30T00:00:00Z,0,0,1,1,Mariyah town,"c(44.27095, 14.50235)"
386614,2021-02-03T00:00:00Z,0,0,1,1,Al Ḩaymah as Suflá area,"c(44.06, 13.70564)"
386795,2021-02-13T00:00:00Z,0,0,1,1,Jazīrat Sānā island,"c(42.28, 16.144444)"
386800,2021-02-20T00:00:00Z,0,0,5,5,Rawdah village,"c(44.227265, 15.423232)"
390925,2021-02-24T00:00:00Z,0,0,1,1,Ibb town,"c(44.177343, 13.940771)"
391149,2021-03-12T00:00:00Z,0,0,0,0,Şan‘ā’ city,"c(44.206667, 15.354722)"
391367,2021-04-03T00:00:00Z,0,0,2,2,Şan‘ā’ city,"c(44.206667, 15.354722)"
